t_IMU,f_X,f_Y,f_Z,w_X,w_Y,w_Z
0.10500000,-0.01162353,0.09388637,9.82906557,0.00655378,-0.01722343,0.00781346
0.10750000,0.13014936,0.02445119,9.77603481,0.00556067,-0.00237158,-0.01098817
0.11000000,0.03028158,0.00015888,9.86239761,0.00555139,-0.00991652,0.01112712
0.11250000,-0.06304657,-0.02459485,9.79028336,-0.00713598,0.01118828,-0.00011401
0.11500000,0.02684978,-0.00196098,9.83558161,0.01170840,-0.00997170,0.00536433
0.11750000,0.04872426,-0.02070283,9.85819636,0.00896436,-0.01707511,0.00362698
0.12000000,-0.00416291,-0.03246592,9.83636633,-0.01091966,-0.01271096,0.00566497
0.12250000,0.02481377,-0.06113880,9.93076713,-0.00700957,0.01661161,0.00100978
0.12500000,-0.03356963,-0.08811664,9.87587452,0.00712546,-0.00634051,0.01491303
0.12750000,0.04140934,0.00767304,9.78766404,0.01898244,-0.00195096,0.00197834
0.13000000,-0.05491448,-0.02296554,9.81690555,0.01125852,-0.00415295,-0.00773916
0.13250000,0.01562105,-0.00731860,9.88123000,0.00867164,-0.00231249,0.00642544
0.13500000,-0.03988465,-0.10740044,9.80018419,0.00039529,-0.01974460,0.01650223
0.13750000,-0.06830296,-0.14884973,9.89531748,0.00728134,-0.00466376,0.01229295
0.14000000,0.02390045,-0.04334027,9.79963492,-0.00657878,-0.00169539,0.00856469
0.14250000,0.10217385,0.04450090,9.86407919,-0.00221538,-0.01123386,0.00452014
0.14500000,0.03154328,-0.06515244,9.81292033,-0.00011964,-0.00604396,0.00639385
0.14750000,-0.03227941,0.08947721,9.76687145,-0.00550286,-0.00628961,0.00118727
0.15000000,-0.05032412,-0.09364620,9.85929584,0.01522791,-0.00688833,0.01306159
0.15250000,-0.06837684,0.01844286,9.83351302,0.00387729,-0.00408412,-0.01184361
0.15500000,0.00471039,0.11269951,9.79182638,0.00032579,-0.01157538,0.00312682
0.15750000,0.03983635,-0.07378071,9.77926797,-0.00565300,-0.00714801,-0.00858397
0.16000000,0.05270607,-0.05060203,9.81746779,0.00320584,0.01108333,0.01102143
0.16250000,0.04942042,-0.00792383,9.79842981,-0.01567693,-0.01536374,0.00034347
0.16500000,0.01768307,-0.11775565,9.80521386,0.00226490,-0.00163631,-0.00836686
0.16750000,0.06813552,0.07560072,9.85396671,0.00294750,-0.00498360,0.00918423
0.17000000,0.02268304,-0.00361809,9.78089287,0.00751954,-0.00658606,0.01465147
0.17250000,0.06311496,0.03314129,9.79229391,-0.01207928,-0.00699336,0.00628948
0.17500000,-0.06248356,0.00976265,9.88218455,-0.00150435,0.00820301,0.00900976
0.17750000,-0.00739492,0.00131034,9.83981838,0.00517841,-0.00882920,-0.00527841
0.18000000,0.06443864,0.01369164,9.77277913,0.01233593,0.00650318,0.02564998
0.18250000,0.05734519,-0.02692179,9.82064644,-0.00863117,-0.00859498,-0.00047401
0.18500000,0.05945154,-0.10396304,9.86236915,0.00749365,-0.02374866,-0.01038339
0.18750000,-0.03882953,-0.04101915,9.87964073,0.01812654,-0.02335343,0.00687322
0.19000000,0.07508720,-0.05302316,9.76771051,-0.02130724,-0.00663410,0.01245790
0.19250000,-0.06124278,-0.05474300,9.89933015,0.00596748,0.00585465,-0.00079703
0.19500000,0.02427395,-0.06170091,9.81259406,0.00603073,-0.01258316,0.01014085
0.19750000,-0.05175459,-0.01646492,9.85411769,-0.00424079,-0.01334614,0.00192494
0.20000000,-0.05545628,0.03154535,9.89847999,-0.01045131,-0.01487620,0.01717747
0.20250000,0.06148289,-0.03954380,9.86629162,0.01368606,-0.00508088,0.00381143
0.20500000,-0.03376747,-0.06474253,9.92746043,0.00432874,-0.00809301,0.00289982
0.20750000,-0.04836201,-0.05214216,9.80651540,0.01775295,-0.01014424,0.00666776
0.21000000,0.01953494,0.05408577,9.85889579,0.00536451,-0.01213719,-0.00285031
0.21250000,0.08298560,0.02659850,9.83390020,0.00264797,-0.00385721,0.00736359
0.21500000,-0.05457595,-0.00462568,9.78271605,0.00243240,-0.02447569,-0.00107862
0.21750000,-0.02100549,-0.02626284,9.92371633,0.02185520,-0.02215996,0.00494277
0.22000000,0.06520281,0.03959579,9.76513346,-0.00092685,-0.00810501,0.00684678
0.22250000,0.01498225,-0.02299408,9.83382913,0.00989738,-0.00385362,-0.00563536
0.22500000,0.05671773,-0.01902159,9.82514662,0.02133802,0.00060046,0.00525155
0.22750000,0.04828573,0.00837932,9.85958151,-0.00506681,-0.01334107,0.01471919
0.23000000,-0.12182322,-0.06125764,9.81142558,0.00600968,-0.01628397,0.00733631
0.23250000,-0.03566140,-0.06637179,9.69080102,0.00229395,-0.00445612,0.00636319
0.23500000,0.04805146,-0.02864604,9.77275926,0.00556030,-0.00808119,0.00291663
0.23750000,0.10079751,-0.03543781,9.86219422,0.01510625,-0.00679903,-0.00117368
0.24000000,0.02650435,0.01893290,9.71656122,0.00077552,0.00271028,-0.00287991
0.24250000,0.00666769,-0.03429364,9.85348306,0.01093904,-0.00443145,0.00491936
0.24500000,0.15425048,0.06418752,9.88370087,0.00500820,-0.01139922,0.00207258
0.24750000,-0.05891597,-0.00128829,9.80716387,0.01559972,-0.01108534,0.00424987
0.25000000,-0.05604747,0.00408298,9.86955558,-0.00563311,0.00428366,-0.00061198
0.25250000,0.03148918,0.03402626,9.88664625,0.01063866,-0.01866398,0.00272731
0.25500000,-0.00389307,0.08577099,9.77627416,-0.01255490,0.00582910,-0.00632967
0.25750000,0.00388949,-0.01456014,9.79723297,0.00458122,-0.00856879,0.01993129
0.26000000,-0.06005206,0.04091785,9.91193773,0.00413315,-0.00141562,0.02067093
0.26250000,0.04011252,-0.00627096,9.80076499,0.00106746,0.00369365,0.00473354
0.26500000,0.03796715,0.01727563,9.81009419,0.00623980,-0.01232829,0.01011181
0.26750000,-0.01516177,-0.13963301,9.81759302,0.00075999,-0.00469840,0.01727858
0.27000000,0.08535944,-0.00895146,9.74206973,0.00314899,-0.01811173,0.02758571
0.27250000,-0.02605548,-0.09195853,9.71574755,0.01288552,-0.00705957,-0.01323539
0.27500000,0.09048735,-0.00326584,9.84236074,-0.00071672,-0.02118284,0.00358933
0.27750000,-0.09532210,0.01520796,9.85410416,-0.00918329,0.00645604,0.00771879
0.28000000,0.07764718,-0.06441737,9.75512335,0.00612173,-0.01692339,0.01512132
0.28250000,0.07883657,0.02025662,9.80430752,0.01947597,-0.02484613,0.00359948
0.28500000,0.05278711,0.07590609,9.83454166,0.01757175,-0.00994495,0.00101602
0.28750000,0.04149635,0.03500601,9.85650043,0.01593682,-0.00433448,0.00163511
0.29000000,0.00793669,-0.00772356,9.72499893,-0.00492820,-0.00866091,0.00754650
0.29250000,-0.05070711,0.11806200,9.78856177,-0.00201171,0.00032145,0.00734906
0.29500000,-0.07074813,0.05550229,9.90913886,-0.00057209,-0.01724381,0.00206003
0.29750000,-0.05064268,-0.01032048,9.80817897,0.00379916,-0.00689199,0.03086062
0.30000000,-0.00042359,-0.05410332,9.77763128,-0.00899888,0.00326632,0.00756649
0.30250000,-0.00969707,0.01563972,9.80966381,0.01837276,-0.01213128,0.01441439
0.30500000,0.02658046,-0.00422941,9.80940424,-0.00036733,-0.02633499,0.00952501
0.30750000,-0.01760597,-0.05488481,9.80051461,0.00794028,-0.01951126,0.01190536
0.31000000,0.01420126,-0.08365653,9.77989004,0.01897547,-0.00392075,-0.01228050
0.31250000,0.06405847,-0.05284531,9.82530370,0.02163390,0.00192723,-0.00952024
0.31500000,-0.05633793,0.05102377,9.88677972,-0.00468044,-0.00435820,0.01018382
0.31750000,0.02785914,-0.00569571,9.84249158,0.01049142,-0.01161500,0.01269929
0.32000000,0.00820937,-0.04753335,9.86237165,0.00915608,-0.00369840,0.01929123
0.32250000,-0.02133703,0.00887059,9.88285284,0.01239455,-0.02728546,0.00643406
0.32500000,-0.04473497,-0.01926156,9.81986534,-0.01381223,-0.01173300,0.00662083
0.32750000,-0.09282438,-0.03674587,9.82277787,0.00171348,0.00731720,-0.01103480
0.33000000,-0.04957796,0.03805011,9.90263991,-0.00102578,-0.00378723,0.02207711
0.33250000,0.08900739,0.09225579,9.80459829,0.00666051,-0.00708524,0.00441848
0.33500000,0.07456524,0.00503171,9.75748649,0.00599720,0.01527064,0.01470703
0.33750000,-0.03227615,-0.03205084,9.73021585,-0.01330855,-0.00617445,-0.01213788
0.34000000,0.01386542,-0.01042629,9.96360176,0.01623487,-0.01324110,-0.00052330
0.34250000,0.03024787,0.05732997,9.84713825,0.00420168,-0.01092513,0.00468595
0.34500000,-0.01932331,-0.06047299,9.79053472,0.00499187,-0.00267828,0.00324306
0.34750000,-0.00174749,0.04631523,9.88173703,-0.00289646,0.00210745,0.00714889
0.35000000,-0.00460566,-0.02437979,9.77925537,-0.00272542,-0.01920400,0.00751443
0.35250000,0.00553452,0.00184128,9.79151262,0.00501933,-0.01906605,0.01649257
0.35500000,0.02210205,-0.04393505,9.88675721,-0.00260799,-0.00911626,0.00502907
0.35750000,0.02648772,-0.04058558,9.89036177,-0.00167283,-0.00447399,0.00877357
0.36000000,-0.07264123,-0.01854568,9.89674566,0.01270520,0.00649723,0.00546040
0.36250000,0.07713243,0.02829172,9.81735378,0.00638285,0.00214298,0.01066656
0.36500000,0.06686057,0.02509881,9.87416688,0.02318654,-0.00146948,0.01197453
0.36750000,-0.03627496,0.04460848,9.77327829,0.01086082,-0.00973856,0.00391025
0.37000000,-0.04954959,-0.01244382,9.81558383,0.00309890,0.00787200,-0.01253079
0.37250000,0.07962725,-0.02271290,9.83543916,0.01338547,-0.02080588,0.00722069
0.37500000,-0.03596870,-0.07416757,9.80085531,0.01007927,0.01450084,-0.00148321
0.37750000,0.04446682,0.11898338,9.76596071,-0.00558890,-0.00069062,-0.00248496
0.38000000,0.10632301,-0.02636982,9.89075307,0.01980200,-0.02084549,-0.00951130
0.38250000,-0.05934492,0.00123162,9.82722362,0.01193136,-0.00495831,0.01674586
0.38500000,-0.00762532,-0.02580693,9.81914118,0.00393736,-0.01934258,0.00897026
0.38750000,0.02151611,-0.10743738,9.75585660,0.00212083,-0.02728400,-0.00758262
0.39000000,-0.02953413,-0.15119833,9.74989072,0.00282978,0.01675788,-0.00140401
0.39250000,0.05229190,0.00343293,9.77240583,0.01955821,-0.01040068,0.00424958
0.39500000,0.06206224,-0.01241557,9.77192815,0.00027285,-0.02511948,0.01050250
0.39750000,0.04631362,0.05496995,9.80135190,0.01028758,-0.00397780,-0.00498871
0.40000000,0.05192467,0.00264154,9.83547767,0.00815871,0.00281302,-0.00049273
0.40250000,-0.04804557,-0.08074782,9.76301626,-0.00755874,-0.00086742,-0.00089299
0.40500000,0.03066448,-0.01542642,9.80975520,0.02016623,0.00875227,0.01136422
0.40750000,0.07975116,0.06483416,9.72446277,0.00826725,-0.00651309,0.01093801
0.41000000,-0.09249556,-0.03533799,9.84120468,-0.00795608,-0.00265560,0.01270698
0.41250000,0.04404321,-0.02553566,9.71238761,0.02572393,-0.01723682,0.00207087
0.41500000,0.10960684,-0.04689294,9.83709693,0.00076585,-0.00158789,-0.00072230
0.41750000,0.01604475,-0.02860691,9.87517180,0.00704081,0.00439352,0.01737021
0.42000000,0.07850247,-0.08068815,9.68987636,0.01018801,-0.02489928,0.01189511
0.42250000,-0.01810970,0.00520513,9.83311811,0.00025072,-0.01672713,0.01707714
0.42500000,0.03293859,0.04471889,9.87047125,-0.00010793,-0.00491839,0.00966824
0.42750000,-0.00711868,-0.08165821,9.78078998,-0.00987665,-0.01968597,-0.00525584
0.43000000,0.07475126,-0.04775127,9.87632813,0.00196762,-0.00495230,-0.00341545
0.43250000,0.04894581,0.09680717,9.81864626,-0.00866681,-0.00798520,0.00320273
0.43500000,-0.10186139,0.08903098,9.82087279,0.01042877,0.01370272,0.00611642
0.43750000,0.00875895,0.05995877,9.80172461,0.01336524,-0.01422660,0.00964856
0.44000000,-0.03864739,-0.02965822,9.84824289,0.00870919,-0.01752755,0.01099450
0.44250000,-0.00465997,0.07931272,9.77049210,0.00442871,-0.00532597,0.00427495
0.44500000,-0.02417995,-0.08114075,9.91519983,0.00690485,0.00662665,-0.01972654
0.44750000,0.10186033,-0.02715255,9.77464869,0.00415395,-0.00367183,0.01633798
0.45000000,-0.07463736,0.06072150,9.85059092,0.01240868,-0.01710309,0.00362662
0.45250000,0.04731325,-0.03097823,9.87992749,0.01631289,0.00804826,0.01021972
0.45500000,0.01623138,-0.07214250,9.77330748,-0.00034922,0.00403680,0.01002576
0.45750000,0.02817716,-0.08109254,9.84561894,0.01075416,-0.00809565,0.01189499
0.46000000,-0.03293523,-0.03622040,9.79198542,0.00335021,-0.00927635,0.01327539
0.46250000,-0.00177347,0.01408216,9.75208718,-0.00474744,-0.00307152,-0.00255538
0.46500000,-0.01909605,-0.08221099,9.79269935,0.02708636,-0.00436570,0.00774200
0.46750000,-0.03623733,-0.00550142,9.84134646,0.01005094,-0.01768980,0.01693564
0.47000000,0.11179105,-0.03661496,9.88609120,-0.00647299,0.00089109,0.00701279
0.47250000,-0.01305552,-0.04660050,9.85035465,0.02363742,-0.00909431,-0.00800497
0.47500000,0.06575768,0.04258879,9.84475656,-0.00703449,-0.02780447,0.02246906
0.47750000,0.02223094,0.07650673,9.79454003,0.00434030,-0.01558578,0.00915218
0.48000000,-0.02833830,-0.04443783,9.75377364,0.02543169,0.02094833,0.00336920
0.48250000,-0.01945953,0.06757122,9.73729047,0.00535629,-0.01192841,0.02604589
0.48500000,0.10268608,-0.09030720,9.87261569,-0.00359451,-0.00470323,0.01024690
0.48750000,-0.12286197,0.07542615,9.78408857,-0.00705902,-0.01509876,0.00039670
0.49000000,0.02454632,-0.01634230,9.80165616,0.01876513,-0.00056928,0.01222187
0.49250000,0.09238711,0.04154612,9.81614363,0.01414404,-0.00845667,0.01946592
0.49500000,0.03857748,0.03552467,9.80386761,-0.00116131,-0.01274134,0.01487994
0.49750000,0.05808771,0.04117083,9.78918735,-0.00859626,-0.01573563,0.01409870
0.50000000,-0.04305265,0.00496380,9.77433634,0.00777069,-0.00635323,0.01352203
0.50250000,0.03663874,-0.02602164,9.86991602,0.01081435,0.00641410,0.00165553
0.50500000,0.06084579,0.09393766,9.88235414,0.00549105,-0.00511310,0.00456208
0.50750000,0.04184824,-0.04262643,9.76820187,0.00402384,-0.00862129,0.01338896
0.51000000,0.04171792,0.05446534,9.86399401,-0.00304668,0.00182285,0.02866097
0.51250000,0.00850070,-0.03988688,9.87756508,0.01475024,-0.00705298,-0.00544178
0.51500000,0.02803665,-0.10141695,9.89681229,0.01858825,0.01087481,0.01337941
0.51750000,-0.09631042,-0.05098835,9.79884367,0.01893309,-0.01436435,-0.00953232
0.52000000,0.04548929,-0.03905336,9.78454608,0.02250899,-0.01398230,-0.00027429
0.52250000,0.01346216,0.04556504,9.80251479,-0.00965525,-0.02210234,0.00669099
0.52500000,0.12106852,0.00161925,9.79429058,0.01819161,-0.01725624,-0.00703765
0.52750000,-0.00637810,-0.04534718,9.85261148,0.00178071,-0.00458937,0.01624762
0.53000000,0.00053408,-0.02013345,9.78746430,-0.00840191,-0.00167830,-0.00081091
0.53250000,0.10618220,-0.10757742,9.80228694,0.01390053,0.00147391,0.01402931
0.53500000,0.03448603,0.00408982,9.82125985,-0.00488142,-0.01043951,0.00944935
0.53750000,0.05290991,0.00069766,9.80919444,0.00582817,-0.02543322,-0.00333663
0.54000000,-0.03698981,0.00495175,9.76444019,0.01268727,-0.02537421,0.00072478
0.54250000,-0.08642792,0.03637966,9.80591391,0.01547638,-0.00637825,0.01847899
0.54500000,-0.00947717,-0.02184661,9.81225650,0.00958201,-0.00197344,0.00909579
0.54750000,-0.00106622,-0.02126547,9.83134249,-0.00219621,-0.01339250,-0.00323351
0.55000000,0.00842862,0.01469265,9.94435847,0.00166798,0.02169651,0.00556292
0.55250000,0.06495294,0.01221978,9.82476219,0.01411284,-0.00613610,-0.00966235
0.55500000,0.03433419,0.02847767,9.84226449,0.00233666,0.00666256,0.00710049
0.55750000,0.07474442,0.04289256,9.80973162,0.00771119,-0.00994022,0.00173887
0.56000000,-0.00823580,0.01320152,9.90361766,-0.00097474,-0.01778649,-0.01702075
0.56250000,-0.03879832,0.01094132,9.81676456,0.00232384,-0.00868061,0.01750780
0.56500000,0.00774088,-0.02289063,9.89780607,0.00566115,-0.00290490,-0.00701849
0.56750000,0.06919965,-0.00389569,9.79387860,0.00672416,0.00905503,0.00677657
0.57000000,0.06166141,0.00625228,9.79793972,0.01432545,-0.02303919,0.00346056
0.57250000,-0.00530565,0.00149430,9.73641617,0.00605987,-0.01096729,0.01220420
0.57500000,0.00774302,-0.02583986,9.79106544,-0.00183336,-0.01558784,0.00208883
0.57750000,0.05017678,-0.04988336,9.83117225,0.00871586,-0.00507909,0.01273369
0.58000000,-0.00432931,-0.03155933,9.79473259,0.01059339,-0.00938305,-0.01035401
0.58250000,0.15822374,-0.00685577,9.77763879,-0.00153053,-0.00533558,0.00483205
0.58500000,-0.06535897,-0.08596738,9.76979494,-0.00097627,-0.00401284,0.00182077
0.58750000,-0.00916168,-0.02201801,9.87182701,0.00894119,-0.01340639,-0.01726867
0.59000000,-0.00905422,0.00683408,9.81766440,0.00393011,0.01046928,0.00548114
0.59250000,0.04535261,0.01332680,9.82074633,0.00468532,0.00113843,0.01720999
0.59500000,0.00990603,0.08639804,9.82460118,0.02582737,0.00290303,0.02127434
0.59750000,-0.04219435,-0.04114802,9.73545575,0.00177805,-0.01660046,0.00446287
0.60000000,-0.01744608,-0.08550359,9.87051163,0.00604580,-0.02437237,0.00841824
0.60250000,0.12714418,0.00184490,9.78093556,-0.00320555,-0.01620317,-0.01041879
0.60500000,-0.02233259,-0.07604398,9.74942505,0.00945458,-0.01174041,-0.00720542
0.60750000,0.00236288,0.03892825,9.79917201,-0.01107559,-0.01585803,0.00014347
0.61000000,-0.07383590,0.09384166,9.72414897,0.00690014,-0.00377861,0.00320567
0.61250000,0.04550815,0.08382989,9.87929045,0.00086953,-0.01000300,0.00798055
0.61500000,0.05458503,-0.11088529,9.86013017,-0.01964176,-0.00905609,0.00955613
0.61750000,-0.02072346,-0.01299852,9.74679948,0.02475311,-0.01246582,-0.00443250
0.62000000,-0.04754880,-0.06287089,9.91510303,-0.01142366,-0.00873490,0.01119109
0.62250000,-0.03028981,-0.08118187,9.69862177,0.00802378,-0.01355947,0.00445668
0.62500000,0.10607441,0.02186913,9.79209712,0.02176937,-0.00735209,-0.00479816
0.62750000,-0.10751370,-0.06599782,9.77949232,0.00081495,-0.00926374,0.00785722
0.63000000,0.11730465,-0.05647175,9.85216413,0.02059773,-0.00386250,-0.01655606
0.63250000,-0.07124769,-0.02974122,9.87037281,-0.00667336,-0.01383920,0.01982285
0.63500000,-0.01619943,-0.08331338,9.85709674,0.00017991,0.00007294,-0.00818409
0.63750000,0.04456928,0.00297073,9.87556755,0.01883429,0.00162771,0.00311441
0.64000000,-0.00860712,0.00692925,9.76292438,-0.00326226,0.00039310,-0.01250693
0.64250000,0.00180550,-0.00860056,9.71041602,-0.00251710,-0.00505411,-0.00402051
0.64500000,-0.01514162,0.02332717,9.73932106,0.00110575,0.00578899,0.00481192
0.64750000,-0.02071131,-0.00654847,9.97106170,0.00742106,-0.00772289,-0.00632898
0.65000000,0.06406320,-0.03932750,9.74058689,0.02056422,-0.01117659,-0.01457700
0.65250000,-0.00302004,-0.01038690,9.87409016,-0.00937257,-0.01565759,0.00841933
0.65500000,-0.01159192,0.03008949,9.87463530,0.03562207,-0.00015382,-0.01857778
0.65750000,0.00304735,0.02713664,9.80082129,0.00127433,-0.01075906,-0.00601195
0.66000000,0.01638379,-0.08801434,9.82149803,0.01666914,-0.00767995,-0.00144342
0.66250000,0.05802113,0.01712269,9.80709881,0.01447753,-0.02037537,-0.01092909
0.66500000,0.06554338,-0.04154157,9.80765044,-0.00466893,-0.01759980,-0.00976023
0.66750000,-0.05327067,0.02208789,9.79761437,0.01452151,-0.02092837,0.00927961
0.67000000,0.02673319,-0.00232673,9.81895572,-0.00012851,-0.00352035,0.01175167
0.67250000,0.03043356,0.02550633,9.81483374,-0.00354741,0.00838095,0.01098759
0.67500000,0.04275211,-0.00327768,9.84837710,-0.00997339,0.00551155,0.01245189
0.67750000,0.00278195,0.04005279,9.85065120,0.00529636,0.00703294,0.01904881
0.68000000,-0.02717760,-0.02012318,9.78178992,0.01477323,-0.00575404,0.02224275
0.68250000,-0.07454046,-0.02261101,9.88569419,0.01559220,-0.00836213,-0.00902520
0.68500000,0.04916056,-0.01244913,9.84067402,0.01379659,-0.00571048,0.00059646
0.68750000,0.04812038,0.04917286,9.86130057,-0.00837539,-0.01224164,0.01081115
0.69000000,0.12165684,0.04596424,9.73224454,-0.00966782,-0.01431257,-0.00962037
0.69250000,0.02170098,0.04000235,9.80917390,-0.01440866,0.00437979,0.01050288
0.69500000,-0.06301081,-0.00948320,9.78862600,0.01615048,-0.00160015,-0.00238663
0.69750000,-0.09655185,-0.01827264,9.87335196,-0.00542908,-0.00695808,0.02031136
0.70000000,0.05077256,0.02337559,9.82781205,-0.01038536,-0.00119342,0.00436986
0.70250000,-0.03811535,0.04980567,9.80800546,0.00564163,-0.01047831,-0.00797604
0.70500000,-0.01524933,-0.00268785,9.90609183,-0.00146556,-0.00398002,0.01074817
0.70750000,0.04065357,0.00585212,9.77388463,0.01114437,-0.01186267,0.00025623
0.71000000,0.11301675,0.03341980,9.90146037,0.01055979,-0.00675953,0.00286716
0.71250000,0.10758966,-0.07124345,9.86409584,-0.00509798,-0.01295546,0.01437572
0.71500000,0.05499728,-0.10242035,9.83743024,0.01463874,-0.01240326,0.00967401
0.71750000,-0.00764655,-0.11150987,9.85917743,-0.00969338,0.00082161,-0.00827377
0.72000000,0.00516564,-0.01488049,9.85719033,0.01462245,-0.00458557,0.00654876
0.72250000,0.01911645,0.01058528,9.75672534,0.02394584,-0.00211675,0.01377661
0.72500000,0.05465110,-0.03003389,9.76795491,-0.01452241,0.00242763,0.01287820
0.72750000,-0.00309657,0.02573748,9.74609992,-0.00815727,0.00714548,-0.00668910
0.73000000,0.04923666,-0.03103756,9.91292970,0.00507228,0.00922635,0.02995588
0.73250000,0.05145545,0.00444811,9.86019979,0.01750352,-0.01390569,-0.00939545
0.73500000,-0.01106472,0.01191359,9.80950955,0.00318288,-0.02393566,-0.01211298
0.73750000,-0.01274827,0.00091895,9.81297834,-0.00468542,-0.02005276,0.01586713
0.74000000,0.08267761,0.00370263,9.83645070,-0.00086041,-0.00153361,-0.00539440
0.74250000,0.00656567,0.05264565,9.72583238,0.00058471,-0.01120544,0.01340754
0.74500000,-0.07788698,-0.07122289,9.82015004,0.01300571,0.00205738,0.00096102
0.74750000,-0.08424657,-0.06516870,9.85347508,-0.00501250,-0.00627122,0.02847150
0.75000000,0.04184659,-0.08550065,9.85428485,-0.00954323,0.00259539,0.00507179
0.75250000,0.09251130,0.09579767,9.82806099,-0.00141470,-0.01947197,0.00248974
0.75500000,0.02982942,-0.01700955,9.90435871,0.00222044,-0.00133807,0.01634210
0.75750000,0.04150042,-0.05901773,9.86154598,-0.00272929,-0.00407072,0.00913201
0.76000000,-0.01568269,0.01787425,9.75536243,0.01637936,0.00241038,0.01614487
0.76250000,0.00930990,0.11031431,9.75934251,0.01529430,-0.02474294,-0.01039589
0.76500000,0.02690397,0.04650620,9.80753568,-0.01423108,-0.02158075,-0.00842371
0.76750000,0.06913237,0.01174409,9.78854723,0.01713216,-0.00446207,-0.00655791
0.77000000,-0.02449121,-0.00179544,9.72955725,0.00447419,0.00148128,-0.01041532
0.77250000,-0.04912073,-0.00210529,9.75813128,-0.00365814,-0.02506070,0.00197004
0.77500000,0.00243262,-0.07289698,9.88183510,0.01906043,-0.00463014,0.00026461
0.77750000,0.06013009,0.01060351,9.82872967,0.00591594,-0.01520956,0.01259053
0.78000000,-0.01174951,-0.07003891,9.92564032,0.00673184,0.00080438,-0.01689080
