t_baro,P_static
20.75000000,46996.07991836
20.80000000,46718.19137941
20.85000000,46470.57327508
20.90000000,46215.62857508
20.95000000,45967.06640377
21.00000000,45710.77243746
21.05000000,45459.45622484
21.10000000,45197.08730996
21.15000000,44957.01520785
21.20000000,44688.77555239
21.25000000,44438.60577957
21.30000000,44181.69512824
21.35000000,43930.89743616
21.40000000,43676.23242733
21.45000000,43431.00470114
21.50000000,43165.59398291
21.55000000,42922.32401964
21.60000000,42652.95260295
21.65000000,42412.53219618
21.70000000,42148.62818113
21.75000000,41911.19864778
21.80000000,41664.88318320
21.85000000,41421.53334791
21.90000000,41142.79701677
21.95000000,40902.39471958
22.00000000,40659.98448477
22.05000000,40423.86909665
22.10000000,40145.67421443
22.15000000,39911.28669204
22.20000000,39652.83477076
22.25000000,39407.30179594
22.30000000,39171.70431051
22.35000000,38893.30709635
22.40000000,38645.24140684
22.45000000,38411.63644026
22.50000000,38179.16829830
22.55000000,37930.86724936
22.60000000,37661.62063887
22.65000000,37428.62550188
22.70000000,37189.34918102
22.75000000,36923.43043471
22.80000000,36706.84773353
22.85000000,36423.40315904
22.90000000,36209.74921796
22.95000000,35978.21646054
23.00000000,35712.43906287
23.05000000,35454.29914573
23.10000000,35223.48004732
23.15000000,34993.09830212
23.20000000,34730.24642442
23.25000000,34501.35818476
23.30000000,34274.81891250
23.35000000,34027.28097719
23.40000000,33766.40688449
23.45000000,33536.10772453
23.50000000,33280.55717513
23.55000000,33050.70609687
23.60000000,32814.72395468
23.65000000,32588.08218951
23.70000000,32330.80931172
23.75000000,32102.50355399
23.80000000,31872.04110074
23.85000000,31621.99235553
23.90000000,31381.85072276
23.95000000,31154.63651234
24.00000000,30916.36000756
24.05000000,30675.64533145
24.10000000,30450.71955826
24.15000000,30206.89479595
24.20000000,29977.04867504
24.25000000,29756.36402479
24.30000000,29499.60304413
24.35000000,29272.96812638
24.40000000,29043.38127693
24.45000000,28824.95544502
24.50000000,28579.61151393
24.55000000,28359.41970319
24.60000000,28140.58232830
24.65000000,27899.09434704
24.70000000,27685.17073490
24.75000000,27458.73405244
24.80000000,27218.25078535
24.85000000,26991.96856911
24.90000000,26757.48266678
24.95000000,26547.39087704
25.00000000,27070.29085232
25.05000000,27420.08568440
25.10000000,27686.34013151
25.15000000,27850.43914535
25.20000000,27968.66067365
25.25000000,28070.52991389
25.30000000,28142.58629129
25.35000000,28170.21603989
25.40000000,28200.86636406
25.45000000,28197.65323700
25.50000000,28193.42562733
25.55000000,28197.87077531
25.60000000,28194.40277988
25.65000000,28144.92187957
25.70000000,28132.84893052
25.75000000,28103.81926234
25.80000000,28056.40673531
25.85000000,28049.16887559
25.90000000,28031.29960162
25.95000000,27994.57901132
26.00000000,27966.51801926
26.05000000,27910.07370415
26.10000000,27884.62575670
26.15000000,27853.33914536
26.20000000,27803.03554300
26.25000000,27780.03576498
26.30000000,27742.99501916
26.35000000,27710.64534666
26.40000000,27678.04016147
26.45000000,27650.50034351
26.50000000,27595.93117625
26.55000000,27580.97757260
26.60000000,27543.29034142
26.65000000,27523.56924160
26.70000000,27472.84838623
26.75000000,27439.33764059
26.80000000,27402.46050540
26.85000000,27364.93347975
26.90000000,27334.86415372
26.95000000,27300.57461812
27.00000000,27290.58041696
27.05000000,27260.61095328
27.10000000,27221.56092102
27.15000000,27191.59295738
27.20000000,27154.58800558
27.25000000,27151.13488628
27.30000000,27100.67021178
27.35000000,27078.88921882
27.40000000,27062.47312044
27.45000000,27148.23133486
27.50000000,27099.96903988
27.55000000,27091.58598647
27.60000000,27054.07525895
27.65000000,27016.00828254
27.70000000,26991.09872258
27.75000000,26952.59242159
27.80000000,26937.61232668
27.85000000,26903.95011825
27.90000000,26881.11274170
27.95000000,26842.82245833
28.00000000,26855.59851702
28.05000000,26809.74429159
28.10000000,26781.98335308
28.15000000,26741.22366765
28.20000000,26738.45275404
28.25000000,26711.60409085
28.30000000,26677.42519208
28.35000000,26665.43885271
28.40000000,26640.32492229
28.45000000,26624.52164997
28.50000000,26608.85400828
28.55000000,26592.85911635
28.60000000,26565.84212199
28.65000000,26542.65655565
28.70000000,26514.53241677
28.75000000,26496.76855515
28.80000000,26471.89277311
28.85000000,26457.69464653
28.90000000,26439.19736466
28.95000000,26438.17522216
29.00000000,26409.63287449
29.05000000,26374.89670810
29.10000000,26376.85935307
29.15000000,26375.95295915
29.20000000,26324.97752158
29.25000000,26325.65263169
29.30000000,26321.65515339
29.35000000,26281.00181828
29.40000000,26264.59306523
29.45000000,26268.46270443
29.50000000,26232.90189463
29.55000000,26229.16701183
29.60000000,26193.43165347
29.65000000,26176.99658760
29.70000000,26192.83242967
29.75000000,26160.63276963
29.80000000,26141.13340248
29.85000000,26132.51901225
29.90000000,26111.87775957
29.95000000,26118.61498974
30.00000000,26085.73963055
30.05000000,26071.81113334
30.10000000,26074.38076686
30.15000000,26044.38194968
30.20000000,26043.14128832
30.25000000,26035.35859528
30.30000000,26025.80253132
30.35000000,26017.54885213
30.40000000,25999.84021714
30.45000000,25979.99362425
30.50000000,25986.65272286
30.55000000,25943.30976856
30.60000000,25950.56536185
30.65000000,25924.66217088
30.70000000,25925.71231595
30.75000000,25920.92534230
30.80000000,25911.77343578
30.85000000,25881.36165764
30.90000000,25884.65436800
30.95000000,25869.84838983
31.00000000,25865.62443839
31.05000000,25852.03036921
31.10000000,25844.16665953
31.15000000,25830.81342176
31.20000000,25820.42875573
31.25000000,25809.37392303
31.30000000,25816.16568364
31.35000000,25798.62745046
31.40000000,25778.17687362
31.45000000,25783.54951943
31.50000000,25766.93671331
31.55000000,25758.02693417
31.60000000,25774.16801337
31.65000000,25745.26509116
31.70000000,25762.27025470
31.75000000,25748.73581679
31.80000000,25708.74007915
31.85000000,25710.53772833
31.90000000,25715.14660805
31.95000000,25700.18795897
32.00000000,25685.62526257
32.05000000,25689.99750593
32.10000000,25663.11152745
32.15000000,25673.98058436
32.20000000,25675.92157760
32.25000000,25631.67640034
32.30000000,25658.79980656
32.35000000,25626.68406437
32.40000000,25639.17594820
32.45000000,25671.05975329
32.50000000,25620.06138642
32.55000000,25621.84159008
32.60000000,25602.02158435
32.65000000,25612.47095869
32.70000000,25597.74694222
32.75000000,25604.19321086
32.80000000,25599.91104581
32.85000000,25584.01894890
32.90000000,25579.49445471
32.95000000,25560.21550396
33.00000000,25564.98602342
33.05000000,25562.32904989
33.10000000,25564.84325137
33.15000000,25554.31172714
33.20000000,25547.96602132
33.25000000,25526.54043265
33.30000000,25536.71192273
33.35000000,25536.45612411
33.40000000,25535.94357039
33.45000000,25533.72765770
33.50000000,25519.27938988
33.55000000,25514.33439355
33.60000000,25501.65973747
33.65000000,25503.82723525
33.70000000,25530.66085034
33.75000000,25500.98003301
33.80000000,25502.19924424
33.85000000,25508.96978713
33.90000000,25490.18916167
33.95000000,25490.77350719
34.00000000,25489.94705424
34.05000000,25484.50377003
34.10000000,25454.35917771
34.15000000,25473.92345519
34.20000000,25484.66677530
34.25000000,25470.02317031
34.30000000,25470.94325290
34.35000000,25467.11602885
34.40000000,25477.98874313
34.45000000,25470.08450988
34.50000000,25470.64210724
34.55000000,25461.99978440
34.60000000,25477.40638893
34.65000000,25459.49834416
34.70000000,25461.76259069
34.75000000,25447.14324363
34.80000000,25474.04824090
34.85000000,25460.44777503
34.90000000,25456.57779840
34.95000000,25443.47525672
35.00000000,25446.72046914
35.05000000,25471.24451838
35.10000000,25442.15908440
35.15000000,25451.71333238
35.20000000,25430.51483743
35.25000000,25453.24598572
35.30000000,25449.56222223
35.35000000,25460.29182046
35.40000000,25445.19110170
35.45000000,25461.11909511
35.50000000,25454.36767296
35.55000000,25466.73286618
35.60000000,25449.08437723
35.65000000,25466.18300993
35.70000000,25449.74476172
35.75000000,25462.13154978
35.80000000,25469.78923592
35.85000000,25444.29095241
35.90000000,25470.37442121
35.95000000,25452.88241488
36.00000000,25448.40299240
36.05000000,25457.90392968
36.10000000,25455.73238382
36.15000000,25450.50450953
36.20000000,25447.18027654
36.25000000,25457.65374485
36.30000000,25458.26750072
36.35000000,25461.37414594
36.40000000,25455.01378509
36.45000000,25456.70562386
36.50000000,25467.59897546
36.55000000,25459.03292078
36.60000000,25472.02973674
36.65000000,25477.21800597
36.70000000,25476.81878604
36.75000000,25469.94888351
36.80000000,25483.54349562
36.85000000,25503.86764409
36.90000000,25509.51219552
36.95000000,25513.30766248
37.00000000,25488.48094580
37.05000000,25491.29214108
37.10000000,25520.65209643
37.15000000,25491.40182675
37.20000000,25514.54233887
37.25000000,25503.94764223
37.30000000,25529.45536126
37.35000000,25514.90435317
37.40000000,25527.11903395
37.45000000,25524.12286796
37.50000000,25527.21441267
37.55000000,25549.91488316
37.60000000,25537.05424741
37.65000000,25546.55133085
37.70000000,25562.17997141
37.75000000,25554.33833001
37.80000000,25561.18783029
37.85000000,25559.78589933
37.90000000,25561.11862707
37.95000000,25592.13880552
38.00000000,25579.49926663
38.05000000,25588.85719734
38.10000000,25599.92607554
38.15000000,25604.79403026
38.20000000,25587.36713224
38.25000000,25609.56738736
38.30000000,25601.47445761
38.35000000,25586.19215434
38.40000000,25617.37345295
38.45000000,25618.48093222
38.50000000,25613.44708517
38.55000000,25632.50687018
38.60000000,25648.77084328
38.65000000,25658.22435706
38.70000000,25656.03095758
38.75000000,25683.85946889
38.80000000,25671.20266095
38.85000000,25669.63798920
38.90000000,25682.31759758
38.95000000,25681.80564667
39.00000000,25721.62803547
39.05000000,25705.97763106
39.10000000,25730.61955044
39.15000000,25728.75013152
39.20000000,25738.67396394
39.25000000,25728.55771013
39.30000000,25737.61758548
39.35000000,25765.28401601
39.40000000,25753.81537529
39.45000000,25789.01817547
39.50000000,25786.86851340
39.55000000,25801.30424477
39.60000000,25800.08503898
39.65000000,25816.69521159
39.70000000,25800.46021051
39.75000000,25833.74493636
39.80000000,25838.44923549
39.85000000,25852.02942286
39.90000000,25865.61229458
39.95000000,25865.29156433
40.00000000,25884.12888773
40.05000000,25890.04822938
40.10000000,25888.05333400
40.15000000,25915.20644815
40.20000000,25926.55717287
40.25000000,25943.46816054
40.30000000,25939.09358486
40.35000000,25951.39357284
40.40000000,25974.31140956
40.45000000,25959.28342989
40.50000000,26002.50408244
40.55000000,26009.42339072
40.60000000,26014.72719133
40.65000000,26013.80378969
40.70000000,26028.96884819
40.75000000,26055.88148721
40.80000000,26059.20202064
40.85000000,26085.17978627
40.90000000,26080.63792934
40.95000000,26118.25464357
41.00000000,26110.84750855
41.05000000,26131.59270786
41.10000000,26167.31328215
41.15000000,26156.40695750
41.20000000,26164.89063552
41.25000000,26175.45280806
41.30000000,26195.53185325
41.35000000,26216.30352975
41.40000000,26234.49888014
41.45000000,26248.61859139
41.50000000,26253.94267736
41.55000000,26280.93127795
41.60000000,26309.91635948
41.65000000,26314.19900050
41.70000000,26326.13575596
41.75000000,26340.25228030
41.80000000,26375.80784373
41.85000000,26373.36537172
41.90000000,26376.05625609
41.95000000,26430.15845453
42.00000000,26438.82599693
42.05000000,26444.45619572
42.10000000,26469.65010162
42.15000000,26490.24909800
42.20000000,26506.32047889
42.25000000,26531.70628695
42.30000000,26541.31817762
42.35000000,26573.50124742
42.40000000,26588.51542393
42.45000000,26620.36704784
42.50000000,26635.52523992
42.55000000,26641.12028550
42.60000000,26683.25699529
42.65000000,26692.55715651
42.70000000,26725.45698308
42.75000000,26756.88957320
42.80000000,26768.23373617
42.85000000,26771.97811711
42.90000000,26804.34620643
42.95000000,26849.22215651
43.00000000,26869.69724859
43.05000000,26894.73201238
43.10000000,26910.99258508
43.15000000,26949.45112446
43.20000000,26973.82253983
43.25000000,27004.74890879
43.30000000,27040.99819373
43.35000000,27049.98214209
43.40000000,27086.62128216
43.45000000,27114.11475147
43.50000000,27154.30842022
43.55000000,27192.44221049
43.60000000,27195.48599709
43.65000000,27234.94799468
43.70000000,27272.36501063
43.75000000,27286.80582898
43.80000000,27333.76806215
43.85000000,27371.24930424
43.90000000,27391.52055371
43.95000000,27435.75555310
44.00000000,27468.32032287
44.05000000,27510.03522733
44.10000000,27539.85340467
44.15000000,27602.86632167
44.20000000,27621.95362622
44.25000000,27672.54504177
44.30000000,27691.69437438
44.35000000,27743.73342874
44.40000000,27805.99711003
44.45000000,27830.95530017
44.50000000,27868.71190695
44.55000000,27923.59170064
44.60000000,27975.50898448
44.65000000,28009.35421875
44.70000000,28094.09226015
44.75000000,28116.64794942
44.80000000,28179.70230101
44.85000000,28233.01634421
44.90000000,28277.93848340
44.95000000,28346.52196650
45.00000000,28403.16884537
45.05000000,28472.19702514
45.10000000,28538.47466180
45.15000000,28590.11456856
45.20000000,28652.86479268
45.25000000,28730.62367922
45.30000000,28799.86489812
45.35000000,28881.13108596
45.40000000,28949.80866809
45.45000000,29051.00026189
45.50000000,29105.21829481
45.55000000,29204.05887033
45.60000000,29304.26676089
45.65000000,29395.19738960
45.70000000,29520.53379926
45.75000000,29608.79573009
45.80000000,29704.64870783
45.85000000,29828.48960538
45.90000000,29957.81135873
45.95000000,30088.59884640
46.00000000,30221.47869882
46.05000000,30382.41471240
46.10000000,30537.73527164
46.15000000,30717.93236213
46.20000000,30873.34359543
46.25000000,31121.01022139
46.30000000,31328.30006077
46.35000000,31569.64400690
46.40000000,31836.95614523
46.45000000,32134.78306932
46.50000000,32496.25149521
46.55000000,32879.37976441
46.60000000,33351.65778320
46.65000000,33929.16543627
46.70000000,34671.90102908
46.75000000,35591.39498258
46.80000000,36912.67702991
46.85000000,39002.69440260
46.90000000,42884.11167665
46.95000000,53259.26981441
47.00000000,101138.91558958
47.05000000,101151.04167026
47.10000000,101127.10028660
47.15000000,101147.07798777
47.20000000,101134.94947206
47.25000000,101159.75409164
47.30000000,101137.22504339
47.35000000,101141.67683687
47.40000000,101133.28316052
47.45000000,101164.47733959
47.50000000,101129.18941958
47.55000000,101141.33357953
47.60000000,101145.14282367
47.65000000,101141.48369758
47.70000000,101135.53257087
47.75000000,101136.93137730
47.80000000,101130.84653194
47.85000000,101155.48349591
47.90000000,101149.32361184
47.95000000,101159.35871122
48.00000000,101165.80398766
48.05000000,101134.30580768
48.10000000,101169.74702895
48.15000000,101132.47214763
48.20000000,101166.42913201
48.25000000,101138.91739247
48.30000000,101154.07850958
48.35000000,101149.94700739
48.40000000,101156.85787532
48.45000000,101157.01872824
48.50000000,101126.46249379
48.55000000,101146.15691111
48.60000000,101148.88361620
48.65000000,101160.53906231
48.70000000,101151.51036576
48.75000000,101160.81007713
48.80000000,101133.19273500
48.85000000,101149.77938866
48.90000000,101141.75278342
48.95000000,101147.53110427
49.00000000,101145.02210688
49.05000000,101136.63771756
49.10000000,101130.88857790
49.15000000,101158.30526050
49.20000000,101137.55210243
49.25000000,101158.52501103
49.30000000,101143.63216193
49.35000000,101144.34488756
49.40000000,101145.87365734
49.45000000,101155.40628652
49.50000000,101145.73443198
49.55000000,101138.27584939
49.60000000,101154.67353279
49.65000000,101132.59879060
49.70000000,101147.83710154
49.75000000,101136.64226199
49.80000000,101145.31895917
49.85000000,101154.51346536
49.90000000,101143.12976073
49.95000000,101147.15909992
50.00000000,101144.47168832
50.05000000,101135.17167525
50.10000000,101124.72206012
50.15000000,101153.76709050
50.20000000,101132.12718736
50.25000000,101145.52278622
50.30000000,101142.65197827
50.35000000,101139.76955434
50.40000000,101146.67732556
50.45000000,101131.26219653
50.50000000,101151.99212711
50.55000000,101145.18931460
50.60000000,101143.99552766
50.65000000,101151.16738216
50.70000000,101147.06295551
50.75000000,101134.14838444
50.80000000,101147.99296202
50.85000000,101138.71653016
50.90000000,101133.59112108
50.95000000,101142.03572591
51.00000000,101159.31797048
51.05000000,101145.61996334
51.10000000,101156.29767287
51.15000000,101145.64169825
51.20000000,101147.32673809
51.25000000,101157.18136096
51.30000000,101136.18369322
51.35000000,101161.08967659
51.40000000,101130.07119096
51.45000000,101132.08745490
51.50000000,101128.59559553
51.55000000,101141.07521490
51.60000000,101160.05875450
51.65000000,101131.53632873
51.70000000,101138.01781202
51.75000000,101134.37526315
51.80000000,101147.38566267
51.85000000,101138.78479588
51.90000000,101154.58280617
51.95000000,101136.89026196
52.00000000,101120.78964704
52.05000000,101141.34974773
52.10000000,101162.32031450
52.15000000,101138.40395873
52.20000000,101149.32035498
52.25000000,101147.01408008
52.30000000,101161.61500112
52.35000000,101152.28121002
52.40000000,101157.33918101
52.45000000,101127.78882761
52.50000000,101143.32366334
52.55000000,101148.38358175
52.60000000,101151.63513833
52.65000000,101135.06176080
52.70000000,101146.59140563
52.75000000,101139.37375538
52.80000000,101139.54594892
52.85000000,101149.70581234
52.90000000,101159.61615639
52.95000000,101152.10946751
53.00000000,101166.54654585
53.05000000,101153.65765583
53.10000000,101155.04429551
53.15000000,101148.78262787
53.20000000,101128.32071410
53.25000000,101134.48202954
53.30000000,101146.74082466
53.35000000,101149.68451152
53.40000000,101154.58185430
53.45000000,101136.05443577
53.50000000,101132.92967861
53.55000000,101141.61779663
53.60000000,101129.90956094
53.65000000,101131.87130891
53.70000000,101165.67939673
53.75000000,101146.13286168
