t_mag,m_X,m_Y,m_Z
2.92000000,25.16935399,2.10556909,37.68549220
2.97000000,23.95338033,3.09217097,38.33840867
3.02000000,25.39063963,3.31438070,38.06019723
3.07000000,23.95152441,3.74216392,37.80298952
3.12000000,24.72506566,3.44448284,37.58324947
3.17000000,24.82508919,3.06959655,37.96398992
3.22000000,24.38359665,2.83516308,37.30766448
3.27000000,25.18801381,3.93246216,38.48575064
3.32000000,24.59104517,4.45924515,38.11441680
3.37000000,24.91642782,3.13141607,37.83177270
3.42000000,24.67982501,2.31687886,38.92621462
3.47000000,25.03957946,2.98123855,38.77620971
3.52000000,24.15734680,3.65267324,38.76733349
3.57000000,24.13936043,2.66898622,37.36341139
3.62000000,24.59272886,3.45921382,37.95145913
3.67000000,25.27516831,3.55326006,38.55090274
3.72000000,23.79194566,3.13333434,37.42513221
3.77000000,24.01830554,2.79352504,37.95474124
3.82000000,25.15282968,3.66362343,39.20345172
3.87000000,24.51176685,3.57034028,38.46499697
3.92000000,24.06598164,3.57804312,38.38728301
3.97000000,24.91147726,2.39998975,37.66288566
4.02000000,25.86596727,3.45670997,38.10992196
4.07000000,24.92566158,2.87793139,37.93711546
4.12000000,25.14928977,3.37705278,37.44955752
4.17000000,24.91047365,2.72667449,37.64567980
4.22000000,24.60620507,3.27845548,38.04619898
4.27000000,24.39821809,2.65489538,38.09265566
4.32000000,24.47712130,3.47765380,38.06408532
4.37000000,24.78210168,3.91149827,37.74958979
4.42000000,25.15260972,3.73913610,37.72009675
4.47000000,23.97226638,3.28624005,38.10056931
4.52000000,24.66598837,2.63660070,38.10493627
4.57000000,24.68413173,3.83714908,37.65164553
4.62000000,24.58704662,2.45127141,38.66366254
4.67000000,25.09120604,3.23741478,37.51039442
4.72000000,23.98187940,3.62143588,37.81792829
4.77000000,24.86151042,2.56289203,38.12171932
4.82000000,24.09270490,3.14231351,37.82572561
4.87000000,23.77177217,3.20954269,37.93425491
4.92000000,24.77179722,3.25504831,38.42877138
4.97000000,24.14471656,3.52845721,38.29792921
5.02000000,23.82060876,2.54875784,37.49938164
5.07000000,25.21634043,3.04419987,38.10842027
5.12000000,24.28105700,3.16449621,37.83204155
5.17000000,24.50144392,3.13042501,38.05455662
5.22000000,23.91384346,3.01553475,38.90357597
5.27000000,24.48069594,2.68790944,38.34572698
5.32000000,25.69155505,3.57990059,37.80940127
5.37000000,24.89814930,2.78932916,39.11071529
5.42000000,24.37452118,3.29676954,36.95269921
5.47000000,25.52488190,3.83946269,38.88319002
5.52000000,24.55257905,2.56849969,38.97248100
5.57000000,24.81126538,2.33837908,37.50630442
5.62000000,24.89854626,2.90473043,37.52007241
5.67000000,25.32831565,2.93981756,37.45905126
5.72000000,24.24329347,3.46244048,37.23581083
5.77000000,24.29346521,3.37657086,37.53977759
5.82000000,24.54239233,4.18797610,37.68651174
5.87000000,24.24668200,3.34700425,39.02488026
5.92000000,24.47318368,3.92560711,36.98935947
5.97000000,24.63542813,4.22918155,37.94677815
6.02000000,23.94470422,3.46017235,37.50816141
6.07000000,24.88889057,2.89360617,38.53822128
6.12000000,25.02231587,3.29667105,38.38004020
6.17000000,24.25342305,4.23006666,37.21403181
6.22000000,24.30304753,3.81948770,38.09492453
6.27000000,23.94671018,3.38884810,38.08409444
6.32000000,24.65174125,3.64110354,37.24190314
6.37000000,24.33099191,3.45276672,37.88187286
6.42000000,24.27912013,3.41205411,37.81615405
6.47000000,24.34223357,2.92643495,37.28172283
6.52000000,24.86123898,3.33410201,37.99735381
6.57000000,24.57233558,3.63119540,37.81258220
6.62000000,24.02299252,3.71897457,38.28390213
6.67000000,24.60550395,3.44534850,38.28372256
6.72000000,25.26549910,3.52457672,38.15733140
6.77000000,22.61672605,3.66180613,38.12781001
6.82000000,24.61904145,3.69619640,38.37663068
6.87000000,24.72926943,3.09852049,38.10163917
6.92000000,24.41396351,3.22889053,38.01752437
6.97000000,24.33521115,2.59780889,38.31561828
7.02000000,24.30284089,3.29920167,38.04019869
7.07000000,25.36092969,4.05715405,37.86826772
7.12000000,23.68618798,2.71119272,39.23971287
7.17000000,23.22126951,2.70458710,39.13752954
7.22000000,24.47595240,3.54101538,37.24028493
7.27000000,25.10839982,3.47620745,37.96125807
7.32000000,24.78882080,2.96212359,38.01937384
7.37000000,25.00137420,3.19427676,37.72961451
7.42000000,24.31216186,2.37804126,38.71452816
7.47000000,24.28382908,2.90175323,37.92076115
7.52000000,24.39006190,3.90372840,38.64847692
7.57000000,24.17691563,2.37521481,37.64306563
7.62000000,24.81392863,4.21197884,37.79396323
7.67000000,25.19217733,3.12750147,37.84868065
7.72000000,23.76985874,2.14305820,38.83306265
7.77000000,24.72586325,2.68506210,36.96542113
7.82000000,24.11016527,3.10451797,38.05562704
7.87000000,24.17568477,3.91770647,37.79366033
7.92000000,25.15946712,2.23800611,38.08285597
7.97000000,23.96211382,2.72886565,38.43403545
8.02000000,24.21254273,3.67655347,38.04495437
8.07000000,24.88873773,2.85630627,38.25589324
8.12000000,24.48851235,3.15022374,37.87314521
8.17000000,24.26230498,2.01528437,38.22009286
8.22000000,24.23940930,4.11958983,38.54704791
8.27000000,23.59276077,3.04850705,38.56920528
8.32000000,24.83271326,3.08473946,37.12688142
8.37000000,24.97736683,2.79839266,38.51256190
8.42000000,24.55584798,3.84195001,37.11660399
8.47000000,25.20204425,2.91197473,39.05212640
8.52000000,23.53397007,3.69685082,39.06413213
8.57000000,24.79239273,4.02483557,37.85213111
8.62000000,24.41686491,2.95621291,37.77773191
8.67000000,25.02805820,2.35628336,38.13847778
8.72000000,24.48920744,3.49710969,38.00216083
8.77000000,24.16017368,3.77898810,37.77110637
8.82000000,24.71568733,3.55129006,38.66091377
8.87000000,24.09186511,3.06061898,38.18560464
8.92000000,24.87726292,3.77096819,37.99484866
8.97000000,25.56700445,3.16595753,37.07317008
9.02000000,24.08959658,2.67104811,38.58512445
9.07000000,24.44302755,3.37509180,38.16617748
9.12000000,23.96091803,2.91973444,38.58323133
9.17000000,24.71202414,2.50775638,38.21888059
9.22000000,24.94223806,2.52911675,38.69725980
9.27000000,24.41124739,3.47645488,38.63525071
9.32000000,24.59331661,2.95976733,38.72300169
9.37000000,25.02158847,3.65824529,38.29402076
9.42000000,24.40498266,3.56645115,38.73035671
9.47000000,24.92636323,3.18463381,38.81808906
9.52000000,25.16471076,3.27244585,38.29875630
9.57000000,25.10018075,3.65084958,38.49548027
9.62000000,25.07536563,2.61806715,37.76164641
9.67000000,24.19376708,2.96810546,38.57187944
9.72000000,24.45029724,3.28682230,38.34342132
9.77000000,24.46976225,2.95479740,38.33133805
9.82000000,24.71150030,3.06455903,37.19982482
9.87000000,24.41181655,3.04451870,37.44615007
9.92000000,24.75657591,3.28433944,38.13100485
9.97000000,24.50793006,3.57136412,37.09574811
10.02000000,24.83730730,3.94018309,38.05917438
10.07000000,24.14087695,2.75090171,38.38895743
10.12000000,24.47287631,2.19642815,38.25674592
10.17000000,23.43557076,2.58010060,38.74431332
10.22000000,25.24203701,2.71271882,37.75069737
10.27000000,24.47672818,2.99758372,36.96733564
10.32000000,24.12276296,3.06410963,37.62121888
10.37000000,24.67808579,3.65745426,38.02662094
10.42000000,24.63648174,4.06634380,37.20896941
10.47000000,24.88983982,3.08946902,39.02333148
10.52000000,23.96296827,3.06593230,38.39457351
10.57000000,24.61151774,3.77987559,37.29582699
10.62000000,23.98057780,3.25058613,37.96508599
10.67000000,24.09471512,3.05224867,37.81767222
10.72000000,24.49606754,2.84821086,37.67655280
10.77000000,24.92601695,4.37009876,38.70112992
10.82000000,25.27792086,3.20194569,38.06386167
10.87000000,23.84041612,3.85541830,38.48056669
10.92000000,23.71186288,2.54600537,38.58819883
10.97000000,24.46790492,4.20955845,37.70810181
11.02000000,23.95567908,4.12357060,37.56725957
11.07000000,24.92546704,2.68597409,37.10267327
11.12000000,24.41247462,3.13882237,38.19982616
11.17000000,25.07659180,2.68838005,38.03533701
11.22000000,25.29529921,3.75731808,38.52573752
11.27000000,24.81660754,3.47068146,37.96322591
11.32000000,25.12658319,2.68643291,38.28198783
11.37000000,24.91590834,3.46259633,38.45595952
11.42000000,25.39613405,3.90287115,37.69809765
11.47000000,24.75915141,2.33619670,37.40615271
11.52000000,24.73856450,3.98673201,38.23157178
11.57000000,24.46627529,3.22490456,38.44371216
11.62000000,25.42929598,3.32541954,38.48022534
11.67000000,24.71987742,3.08995758,38.08045905
11.72000000,24.63134116,3.09015580,38.28192844
11.77000000,24.13294208,3.77637196,37.49531658
11.82000000,25.45488393,2.70429672,37.85366016
11.87000000,24.22227703,3.69519821,37.99680630
11.92000000,24.52098401,2.18437488,38.03350831
11.97000000,24.31443706,3.58332941,37.92618799
12.02000000,23.65512558,2.76778053,38.20406577
12.07000000,24.25441479,3.22432245,37.42207249
12.12000000,24.46615885,3.56537931,37.60797296
12.17000000,24.62839243,3.17140685,38.21955172
12.22000000,24.25041880,2.54439077,38.68438557
12.27000000,24.38442990,3.04462652,37.97950930
12.32000000,25.05262703,3.46275368,37.60382248
12.37000000,23.78922718,2.99360861,37.81616717
12.42000000,25.29389138,3.56645013,38.43878585
12.47000000,25.01580737,4.15349425,37.62995028
12.52000000,24.73570281,3.30743947,37.91129473
12.57000000,24.57323219,2.73234075,37.68289236
12.62000000,24.02233716,3.69618171,38.21427201
12.67000000,24.93322628,4.56138691,37.80018244
12.72000000,23.74895194,3.66406025,38.13574033
12.77000000,25.01786703,3.41565093,38.43630377
12.82000000,24.48712384,2.31609133,38.08279216
12.87000000,24.01774508,2.33826880,38.17891494
12.92000000,23.98055593,3.34469773,39.13049317
12.97000000,24.42588847,2.59886758,38.47186233
13.02000000,24.58388367,2.59419919,38.36748588
13.07000000,24.38371761,3.97591556,37.82575488
13.12000000,24.88934376,3.95149273,38.46282469
13.17000000,24.38443893,3.49989862,38.27396073
13.22000000,24.22773032,2.91136467,37.29598503
13.27000000,25.26620203,4.29718637,38.07338005
13.32000000,23.93364420,2.96665821,38.61389942
13.37000000,23.81430535,3.28048457,38.96951754
13.42000000,23.75477133,3.22415766,37.83319520
13.47000000,24.25461570,2.27443659,38.37234288
13.52000000,24.55843454,3.15153365,38.71565751
13.57000000,24.76923122,2.99313684,37.91625816
13.62000000,25.03619842,3.38639844,37.41840887
13.67000000,24.29641031,2.76013836,38.47247894
13.72000000,24.17565219,2.91693959,37.82391390
13.77000000,24.62276955,3.04431806,38.35260238
13.82000000,24.22691590,3.80732541,37.86191146
13.87000000,24.58253577,3.54822400,37.13501275
13.92000000,24.66140171,3.65009961,38.58745000
13.97000000,24.58719679,2.58653122,38.02625416
14.02000000,25.05747155,3.16906638,37.83294848
14.07000000,24.99604281,3.76487920,37.65819385
14.12000000,24.41149101,2.81799306,38.71938544
14.17000000,24.72839989,2.46130620,37.81211867
14.22000000,24.79408439,4.15029918,37.88346992
14.27000000,24.75850753,3.26132567,38.06923669
14.32000000,24.08393594,3.57406329,37.74310191
14.37000000,24.45696281,2.94368299,37.91283622
14.42000000,23.25352266,3.16430714,37.61592265
14.47000000,24.40922969,2.80158932,38.40439983
14.52000000,24.18164903,3.08165137,38.49211499
14.57000000,24.77876466,2.87251325,38.19608582
14.62000000,25.24422877,3.61400812,37.89672275
14.67000000,24.42313929,3.10226380,38.51639320
14.72000000,25.00468143,4.21748303,38.06931454
14.77000000,23.86461431,3.39943377,38.61923110
14.82000000,24.93761446,3.82094666,38.27222317
14.87000000,24.61117954,3.18105892,38.49392937
14.92000000,24.85412280,3.12538583,38.21463535
14.97000000,24.42047122,3.27389707,38.08650698
15.02000000,24.39226123,3.51238118,38.36930435
15.07000000,25.70653280,2.37773259,37.02382772
15.12000000,24.22951644,3.95123265,37.76989857
15.17000000,24.79328069,3.51771411,38.73416381
15.22000000,24.69428605,3.71658120,37.78503043
15.27000000,24.04104136,3.16909848,37.41381594
15.32000000,24.14133149,3.03059952,38.07389087
15.37000000,24.63925015,3.56558882,39.30911477
15.42000000,24.93539732,2.53943719,37.45032472
15.47000000,24.52584050,3.98609854,37.72372555
15.52000000,24.56349649,3.34995498,38.57655402
15.57000000,24.88382234,3.44070269,38.83361532
15.62000000,24.28906640,3.63255838,38.90201807
15.67000000,24.77023075,3.36363001,38.33136701
15.72000000,24.91296900,2.68033015,38.16458314
15.77000000,24.04509612,3.05273939,38.13586950
15.82000000,24.54875020,3.47114627,37.85395084
15.87000000,24.98369667,2.87965973,37.89941120
15.92000000,24.51173905,3.01416955,39.02346849
15.97000000,24.50741042,2.47987532,37.68861806
16.02000000,24.24579976,2.63353831,38.61286454
16.07000000,24.15303920,3.32324873,38.02719965
16.12000000,24.52057449,1.91747751,39.16689043
16.17000000,25.06801101,3.77172570,37.85528338
16.22000000,24.43143229,3.53309634,38.63830248
16.27000000,24.41198299,2.81806401,38.50331526
16.32000000,24.43133924,3.55437302,38.46726173
16.37000000,24.15667403,2.71270456,37.34874002
16.42000000,24.35023494,3.09950257,37.95007558
16.47000000,24.40620886,3.14548705,37.44027970
16.52000000,24.88481455,3.60251028,37.36802310
16.57000000,24.08979095,3.26146341,38.02689861
16.62000000,25.43003355,2.56529174,38.31032406
16.67000000,24.90099101,3.59350180,38.13466236
16.72000000,23.21916085,2.73449664,38.33763027
16.77000000,25.61326208,2.78809387,38.14138998
16.82000000,24.19504445,3.20126587,37.92357721
16.87000000,24.88095603,3.26112902,38.48568917
16.92000000,24.06850478,2.66185339,37.37780002
16.97000000,23.72258692,2.71497383,37.52866386
17.02000000,24.69669718,2.56670185,37.12804100
17.07000000,24.77840728,2.17523219,38.06163400
17.12000000,23.84794268,2.63051507,38.69913029
17.17000000,24.61371803,2.23185157,38.13175145
17.22000000,25.08790969,3.03093751,37.99017593
17.27000000,23.69278198,3.65199351,37.77975046
17.32000000,23.91899761,3.28195326,37.60369954
17.37000000,24.39552480,3.88289141,37.12924647
17.42000000,24.37066395,2.91028263,37.97028494
17.47000000,24.56204576,3.38574039,38.16345153
17.52000000,24.26797349,2.55316315,37.73374158
17.57000000,25.16262704,3.60657214,37.77421367
17.62000000,24.98948477,3.45250798,38.02582076
17.67000000,23.96659989,4.19874381,38.87540119
17.72000000,24.29404315,2.73321410,37.78250926
17.77000000,25.08666512,3.30215155,37.95505247
17.82000000,24.96245259,2.84057389,37.95251772
17.87000000,24.59975694,2.94681062,38.30567622
17.92000000,24.79557313,2.97595172,38.20856675
17.97000000,24.03341179,4.00981219,37.73504467
18.02000000,24.58066101,2.79304081,37.63094473
18.07000000,24.42528574,2.63165354,38.73919276
18.12000000,25.22795434,3.57186687,38.15362640
18.17000000,24.56632863,3.78068948,38.20164490
18.22000000,24.22868605,2.70736675,38.10082291
18.27000000,24.49792275,3.09388516,37.90432152
18.32000000,25.93828624,3.36075503,37.67619402
18.37000000,23.58858644,2.77578431,38.10612411
18.42000000,24.91051394,2.58339120,37.98931336
18.47000000,24.25295425,3.47274774,37.57737315
18.52000000,24.40697106,2.64174389,38.76138282
18.57000000,23.44014786,4.10892210,38.32871033
18.62000000,24.17326867,3.36668347,38.13120291
18.67000000,24.55248515,3.74397137,37.49155573
18.72000000,24.52222424,3.67695805,37.71462418
18.77000000,24.35451147,3.67483196,38.41931165
18.82000000,25.17307123,3.11696706,37.74207116
18.87000000,23.83500868,3.27001330,38.16754751
18.92000000,24.83124244,3.50467535,37.88840603
18.97000000,25.44941832,3.21214596,38.18199961
19.02000000,25.06878864,3.08548817,38.39808666
19.07000000,23.48035450,2.97363869,38.31531292
19.12000000,24.08679841,3.48561546,37.77284010
19.17000000,24.25805002,3.44610047,38.11447389
19.22000000,23.87649524,3.15480626,38.43571451
19.27000000,24.90855228,3.68210079,37.38867525
19.32000000,24.13997866,3.45944224,37.88449978
19.37000000,24.48641146,3.26036635,37.79919462
19.42000000,24.90370001,3.16017140,37.82723641
19.47000000,25.07195814,2.92238171,37.58539317
19.52000000,24.28839158,3.43229504,38.02399702
19.57000000,24.73915727,2.21571183,37.23927373
19.62000000,24.17062360,4.02031082,38.70036940
19.67000000,25.35730518,2.67324987,37.87803910
19.72000000,24.52019833,3.04504247,38.11364922
19.77000000,24.36702693,3.18458284,38.20309996
19.82000000,25.22567887,2.14215414,38.21158211
19.87000000,25.71227226,2.88525052,38.07075914
19.92000000,25.22421878,2.37801034,39.41251228
19.97000000,24.89583631,3.24254775,38.98064086
20.02000000,24.47071746,2.68192684,37.26399371
20.07000000,24.17737245,2.84243625,38.70665524
20.12000000,24.34448111,3.59716125,37.70722748
20.17000000,25.43424632,3.37734386,38.49820521
20.22000000,23.93137853,2.39187332,38.15183790
20.27000000,24.70078313,3.20207144,37.60351156
20.32000000,24.84881271,3.63437778,37.66740817
20.37000000,24.23824098,3.63314219,38.73581626
20.42000000,23.65118651,2.86297535,38.05843234
20.47000000,24.79796345,2.76917714,38.22793516
20.52000000,24.51631212,3.63633818,37.55568963
20.57000000,23.79961170,3.32769226,37.81168158
20.62000000,23.74505210,2.56001783,38.02807058
20.67000000,24.70023603,2.37479779,38.62585784
20.72000000,24.12669448,2.78424517,37.46329088
20.77000000,23.61524685,2.63600893,38.70667790
20.82000000,25.32396499,4.66478361,38.07842435
20.87000000,24.72522017,3.84993021,38.33329654
20.92000000,24.75100385,3.25066302,38.61873869
20.97000000,24.21196394,3.64544365,38.23054904
21.02000000,24.72732073,2.58428571,37.56092686
21.07000000,24.64043165,3.00131874,38.26987023
21.12000000,24.60733228,3.17448087,38.26025055
21.17000000,24.21817809,3.06350675,37.11388452
21.22000000,24.93230337,3.80328826,37.85502071
21.27000000,24.35441987,2.41335475,38.35699516
21.32000000,24.30929679,2.60828154,38.49542774
21.37000000,24.65770220,3.78271427,37.76886289
21.42000000,23.20909171,2.68304556,38.13643132
21.47000000,24.98796183,2.97084286,39.19319762
21.52000000,23.91394249,2.49068901,37.74292444
21.57000000,24.25702116,3.63886719,37.90973907
21.62000000,24.14674462,3.50007993,37.80642624
21.67000000,24.28240389,3.42455412,37.96428164
21.72000000,24.74163219,4.26526950,37.34799556
21.77000000,24.63273788,2.56803899,38.29651762
21.82000000,24.68861516,3.44511281,37.89304126
21.87000000,23.95153234,4.32044079,37.87667738
21.92000000,24.24744582,3.50436546,38.14736793
21.97000000,24.65875663,3.27406824,38.48196527
22.02000000,24.09467011,3.25907213,38.95170225
22.07000000,25.29875820,2.74053677,37.91408159
22.12000000,24.73690219,2.38236542,37.97058994
22.17000000,24.66521311,2.95172506,38.23695942
22.22000000,24.38474920,3.26092610,37.92306733
22.27000000,24.32587901,2.70653492,38.63464519
22.32000000,24.95407045,3.40944417,38.28055603
22.37000000,23.49709286,3.30357991,37.79512502
22.42000000,24.50058667,3.26690949,38.80052055
22.47000000,23.83934852,3.12260088,37.70948620
22.52000000,24.04043054,3.90732785,37.98109566
22.57000000,23.70647197,3.66503871,37.64260357
22.62000000,23.72183947,3.36029950,37.33103318
22.67000000,25.47499963,3.58584580,38.14037286
22.72000000,24.26623035,3.02223858,37.78882582
22.77000000,24.49734772,2.91104591,38.61162027
22.82000000,23.69166799,2.99178678,37.95890173
22.87000000,24.36271705,2.83017091,38.16770049
22.92000000,24.50757971,3.35197833,37.48707178
22.97000000,24.45247851,3.57414981,38.13578988
23.02000000,25.33654455,3.24078994,38.15577177
23.07000000,24.49162589,3.37011655,38.04134587
23.12000000,23.91563001,3.39382793,38.46795053
23.17000000,24.86294926,3.00837007,38.26237910
23.22000000,24.49721408,2.98592944,37.42581691
23.27000000,23.49381198,3.57674536,37.72223886
23.32000000,23.98495833,3.64541952,38.48709544
23.37000000,25.57951928,2.92490878,38.00762548
23.42000000,24.06170648,2.81728335,37.13765144
23.47000000,23.66846085,3.68107293,38.33163839
23.52000000,25.53598551,3.20710623,38.22431878
23.57000000,24.79332695,3.01292892,38.25223082
23.62000000,24.14136314,3.76336482,38.13572372
23.67000000,24.14578572,3.35498852,38.15170175
23.72000000,23.59078209,3.13979771,38.33126343
23.77000000,23.54646604,3.98760460,38.43111635
23.82000000,23.06952023,2.64221859,37.47512434
23.87000000,24.61837906,3.16400066,37.24267599
23.92000000,25.01599677,4.04328983,39.25847901
23.97000000,25.15478861,3.04198012,37.94338781
24.02000000,25.39404320,3.78437739,37.15333730
24.07000000,24.64055737,3.80832914,38.05049563
24.12000000,24.62383655,3.38482371,38.38615366
24.17000000,24.20126262,3.30531851,37.85649237
24.22000000,24.24757134,2.85733856,37.71340964
24.27000000,24.62825656,3.63438993,37.63467296
24.32000000,24.38923912,3.49854722,37.03739114
24.37000000,24.70581826,3.17510188,37.76674241
24.42000000,23.83383508,3.20186588,37.37208819
24.47000000,24.67746352,3.55238661,38.09518590
24.52000000,24.08865367,3.68347306,38.68207658
24.57000000,24.29810044,3.86601466,38.93419334
24.62000000,25.68008316,3.50820906,38.78394728
24.67000000,24.29642701,2.96965617,37.48152072
24.72000000,24.48038716,4.24117690,38.21018910
24.77000000,25.48620991,3.41150504,38.25556764
24.82000000,24.38445328,3.84608309,37.76111433
24.87000000,24.77409109,2.59660555,38.47326755
24.92000000,24.75328217,2.20200653,37.92709035
24.97000000,23.69047175,2.89584556,38.87085356
25.02000000,23.19464725,3.29678861,38.77687042
25.07000000,24.19341947,3.88416524,38.16995390
25.12000000,24.73428095,3.28546253,38.77485520
25.17000000,25.69153223,3.72633798,37.66903499
25.22000000,24.69314032,2.78945055,37.32391102
25.27000000,24.61983204,2.85474803,37.69619483
25.32000000,25.78010291,3.19416587,37.75857250
25.37000000,24.04333316,3.57743779,38.13948285
25.42000000,24.83978524,3.40215561,38.17340872
25.47000000,24.59371277,3.15062709,37.84936022
25.52000000,23.76709443,3.18559800,38.22130090
25.57000000,23.81073048,3.53209688,37.64922419
25.62000000,23.78158239,2.89405863,37.21713053
25.67000000,25.26958251,2.98220714,38.83527366
25.72000000,24.14675924,3.50952521,38.06108439
25.77000000,24.43812160,3.45764320,37.87306220
25.82000000,23.58298510,2.64544546,38.69083182
25.87000000,24.47019438,3.28738497,37.86214903
25.92000000,25.10266716,3.61072642,37.52740036
25.97000000,24.98239561,4.18034516,38.72493933
26.02000000,24.67510184,3.27657348,37.79553283
26.07000000,24.22780389,2.90646718,38.38342969
26.12000000,24.30451684,2.84733188,38.29729850
26.17000000,24.19262800,3.54397966,38.74673796
26.22000000,24.79125900,2.74491717,38.40955256
26.27000000,24.30673633,2.57000331,37.59510211
26.32000000,24.61675792,4.07949833,38.17795711
26.37000000,24.77281064,3.64723250,38.27760432
26.42000000,24.22504887,3.20064140,38.29319698
26.47000000,24.36612708,3.15150694,37.67069781
26.52000000,24.13538650,3.12772196,38.57075451
26.57000000,23.94242119,3.06822860,38.05451047
26.62000000,25.11722873,2.70584354,38.75274415
26.67000000,24.51490123,2.94059336,38.87048207
26.72000000,24.40562508,3.29911516,38.13554703
26.77000000,24.58467766,2.92983784,37.25364400
26.82000000,24.26391045,4.02440838,38.38151227
26.87000000,24.70431727,3.97599963,37.62860872
26.92000000,24.84898271,3.07128218,38.06942758
26.97000000,25.35553334,3.44761731,38.55175406
27.02000000,23.99433522,3.42264716,37.36885945
27.07000000,24.13885171,2.95569171,38.16557231
27.12000000,24.11694371,3.13889374,38.11836652
27.17000000,24.26936215,3.09029216,37.96891880
27.22000000,24.85300826,2.74415178,37.33980795
27.27000000,24.41684243,3.58535504,38.30358668
27.32000000,24.16428915,2.63877575,38.29880026
27.37000000,24.22393583,3.15723890,38.14406547
27.42000000,24.38831341,2.89301212,37.59597343
27.47000000,26.21211357,3.21348460,37.81797312
27.52000000,24.97401570,3.99124246,37.51334307
27.57000000,24.02376764,2.97258019,38.20968629
27.62000000,24.83363794,3.75855001,38.06839843
27.67000000,24.36286330,4.37304841,37.36348273
27.72000000,23.98276569,3.54784988,38.38759228
27.77000000,24.03820364,2.05268423,38.18988425
27.82000000,24.22631399,2.93561560,37.74642390
27.87000000,25.18123076,3.03154439,38.77217878
27.92000000,23.49262705,3.36778052,36.99931146
27.97000000,24.33541057,3.92728060,37.48350981
28.02000000,24.72024205,3.24279076,37.85536905
28.07000000,25.39208107,3.58070457,37.40326964
28.12000000,24.12922033,3.01426096,37.71652640
28.17000000,24.47025810,3.91162771,37.39150564
28.22000000,24.90254730,3.00124535,37.78731179
28.27000000,24.56707412,3.46757391,37.25485868
28.32000000,24.55026415,3.48269707,38.22591756
28.37000000,24.49319465,2.80944036,38.88410649
28.42000000,25.61943073,3.14983175,37.17891564
28.47000000,24.65970223,2.21653957,38.37802211
28.52000000,25.15528107,4.14613296,38.09463584
28.57000000,24.78497848,2.66723597,37.79736985
28.62000000,24.68981977,3.01915586,37.84390126
28.67000000,24.35693100,3.12094361,38.28573475
28.72000000,24.78453230,2.98859095,37.38660554
28.77000000,23.28925687,3.51317904,38.60221374
28.82000000,25.21382118,3.58851499,37.81802552
28.87000000,25.09420372,3.12960298,38.37387507
28.92000000,24.60300749,3.97422371,38.73117722
28.97000000,24.46062772,3.81422115,38.32345244
29.02000000,24.92352099,3.76177631,38.27455954
